13CLLNL,Depth,13C_ave,Depth_ave
-25.75,-260,-29.058,25
-26.35,-240,-28.34,15
-26.92,-225,-28.1075,5
-26.87,-225,-28.77631579,-5
-26.75,-225,-27.79684211,-15
-26.73,-225,-27.006,-25
-26.69,-225,-26.72888889,-35
-26.53,-225,-26.45055556,-45
-26.4,-225,-26.60555556,-55
-26.33,-225,-26.36611111,-65
-26.33,-225,-26.05333333,-85
-26.14,-225,-25.93,-113
-26.72,-220,-26.39176471,-163
-26.59,-213,-26.27,-188
-27.23,-208,-26.63857143,-225
-26.71,-208,-25.75,-275
-26.27,-188,,
-29.27,-163,,
-26.94,-163,,
-26.89,-163,,
-26.71,-163,,
-26.67,-163,,
-26.35,-163,,
-26.21,-163,,
-26.2,-163,,
-26.15,-163,,
-26.11,-163,,
-26.1,-163,,
-26.08,-163,,
-25.96,-163,,
-25.89,-163,,
-25.87,-163,,
-25.8,-163,,
-25.46,-163,,
-26.29,-113,,
-26.21,-113,,
-26.18,-113,,
-26.16,-113,,
-26.09,-113,,
-26.04,-113,,
-26.02,-113,,
-25.97,-113,,
-25.94,-113,,
-25.94,-113,,
-25.88,-113,,
-25.84,-113,,
-25.8,-113,,
-25.74,-113,,
-25.73,-113,,
-25.73,-113,,
-25.71,-113,,
-25.47,-113,,
-26.52,-85,,
-26.49,-85,,
-26.33,-85,,
-26.32,-85,,
-26.21,-85,,
-26.19,-85,,
-26.18,-85,,
-26.1,-85,,
-26.08,-85,,
-26.05,-85,,
-25.96,-85,,
-25.93,-85,,
-25.89,-85,,
-25.86,-85,,
-25.85,-85,,
-25.85,-85,,
-25.61,-85,,
-25.54,-85,,
-26.96,-65,,
-26.87,-65,,
-26.68,-65,,
-26.59,-65,,
-26.58,-65,,
-26.51,-65,,
-26.44,-65,,
-26.42,-65,,
-26.38,-65,,
-26.33,-65,,
-26.25,-65,,
-26.23,-65,,
-26.15,-65,,
-26.08,-65,,
-26.06,-65,,
-26.05,-65,,
-26.02,-65,,
-25.99,-65,,
-26.9,-55,,
-26.9,-55,,
-26.9,-55,,
-26.9,-55,,
-26.8,-55,,
-26.8,-55,,
-26.8,-55,,
-26.7,-55,,
-26.6,-55,,
-26.6,-55,,
-26.5,-55,,
-26.5,-55,,
-26.5,-55,,
-26.5,-55,,
-26.4,-55,,
-26.4,-55,,
-26.2,-55,,
-26,-55,,
-26.81,-45,,
-26.79,-45,,
-26.74,-45,,
-26.68,-45,,
-26.66,-45,,
-26.63,-45,,
-26.62,-45,,
-26.57,-45,,
-26.51,-45,,
-26.45,-45,,
-26.43,-45,,
-26.33,-45,,
-26.29,-45,,
-26.29,-45,,
-26.2,-45,,
-26.15,-45,,
-26.02,-45,,
-25.94,-45,,
-27.42,-35,,
-27.01,-35,,
-26.98,-35,,
-26.93,-35,,
-26.84,-35,,
-26.83,-35,,
-26.76,-35,,
-26.75,-35,,
-26.74,-35,,
-26.7,-35,,
-26.68,-35,,
-26.64,-35,,
-26.6,-35,,
-26.6,-35,,
-26.55,-35,,
-26.47,-35,,
-26.45,-35,,
-26.17,-35,,
-27.91,-25,,
-27.86,-25,,
-27.85,-25,,
-27.74,-25,,
-27.48,-25,,
-27.35,-25,,
-27.18,-25,,
-27.06,-25,,
-27.06,-25,,
-27.03,-25,,
-26.96,-25,,
-26.93,-25,,
-26.89,-25,,
-26.7,-25,,
-26.67,-25,,
-26.6,-25,,
-26.54,-25,,
-26.37,-25,,
-26.2,-25,,
-25.74,-25,,
-28.83,-15,,
-28.62,-15,,
-28.61,-15,,
-28.36,-15,,
-28.16,-15,,
-28.15,-15,,
-28.15,-15,,
-28.1,-15,,
-28.08,-15,,
-28.07,-15,,
-27.81,-15,,
-27.7,-15,,
-27.67,-15,,
-27.41,-15,,
-27.26,-15,,
-27.19,-15,,
-26.87,-15,,
-26.59,-15,,
-26.51,-15,,
-29.55,-5,,
-29.35,-5,,
-29.33,-5,,
-29.33,-5,,
-29.06,-5,,
-28.99,-5,,
-28.98,-5,,
-28.96,-5,,
-28.92,-5,,
-28.87,-5,,
-28.85,-5,,
-28.81,-5,,
-28.73,-5,,
-28.61,-5,,
-28.57,-5,,
-28.53,-5,,
-28.23,-5,,
-28.21,-5,,
-26.87,-5,,
-29.45,5,,
-29.1,5,,
-29.1,5,,
-28.65,5,,
-28.63,5,,
-28.45,5,,
-28.29,5,,
-28.24,5,,
-28.19,5,,
-27.95,5,,
-27.81,5,,
-27.75,5,,
-27.58,5,,
-27.54,5,,
-27.46,5,,
-25.53,5,,
-28.74,12,,
-29.18,14,,
-29.08,14,,
-28.84,14,,
-29.4,15,,
-29.13,15,,
-28.89,15,,
-28.87,15,,
-28.3,15,,
-28.26,15,,
-28.11,15,,
-28.04,15,,
-27.66,15,,
-27.54,15,,
-27.52,15,,
-25.88,15,,
-29.26,21,,
-28.47,21,,
-29.72,22,,
-29,22,,
-28.91,22,,
-28.85,23,,
-28.8,23,,
-29.81,25,,
-29.14,25,,
-28.62,26,,
