SITEID	Latitude	Longitude	d15N	d13C	nitrogenPercent	carbonPercent	CNratio	MAT	MAP	SOC	TotC	TotN	sandTotal	siltTotal	clayTotal	phH2o	BulkD	GPP	NPP
MOAB	38.24710373	-109.3908227	0.003674745	0.011028846	1.057927928	42.34828829	42.83873874	11	200	991.632	1294.8288	110.5628	71.875	18.0125	10.1125	7.825	1.4960125	283.7324	154.0331
SJER	37.11126295	-119.7332163	0.003659348	0.010908069	1.171153846	40.91903846	45.22596154	17	270	1137.96	1151.687	99.472	78.95	15.75	5.3	5.6	1.4324	706.3077	430.3736
DEJU	63.87964696	-145.7519368	0.003655674	0.010920639	0.826041667	48.8471875	62.18125	-2	300	6627.12	6624.076	283.87	33.26666667	59.2	7.533333333	4.9	0.966466667	475.9278	248.3387
SOAP	37.03357595	-119.2646288	0.003652827	0.01092578	0.910632911	48.29246835	56.62911392	-4	331	1659.555	1681.6824	77.4459	45.1	36.9	18	4.8	1.2293	285.7561	209.9972
ONAQ	40.17494087	-112.4550897	0.003677335	0.010944513	0.880597015	37.7238806	47.78059701	9	388	1176.45	3462.9546	117.645	49.41538462	38.15384615	12.43076923	8.484615385	1.343661538	204.3019	106.4627
BONA	65.1558499	-147.5049644	0.003658355	0.010912225	0.858828125	49.40539063	61.54375	-1	399	16349.542	16341.9646	618.8824	25.7	63	11.3	4.813333333	0.408446667	620.9647	394.2616
NOGP	46.77030877	-100.9150403	0.003658312	0.010938933	1.053095238	46.99785714	49.81904762	5	400	4718.952	4713.3432	489.1104	17.575	57.5375	24.8875	6.95625	0.8859	672.3753	415.4702
DCFS	47.16281303	-99.1095553	0.003662996	0.010933	0.923333333	46.29197917	55.99375	5	490	9548.306	9756.2882	891.833	32.68	34.08	33.24	7.08	1.065766667	753.3219	454.7164
WOOD	47.12933437	-99.24405707	0.003668039	0.010955112	0.717575758	41.39727273	64.81515152	5	490	7221.536	9393.7648	661.7432	63.91538462	21.80769231	14.27692308	7.776923077	1.115061538	670.2987	478.7548
YELL	44.95283825	-110.5387127	0.003659322	0.010929714	1.0012	48.90944	55.1216	0	509	2644.579	2664.9878	222.8535	37.78888889	39.82222222	22.38888889	6.688888889	0.670811111	566.9956	434.2247
RMNP	40.2770495	-105.5458838	0.003663	0.010935401	0.809714286	49.76885714	75.44857143	4	520	12140.85	12117.505	629.756	71	18.8	10.2	6.05	0.7811	611.9626	328.8579
NIWO	40.05056363	-105.5853105	0.00366006	0.010936547	1.051282051	47.76551282	53.91153846	0	758	9183.63	9221.449	760.877	55.6	31.45	12.95	5.2	0.97135	575.9965	204.3001
JORN	32.59081637	-106.8416618	0.003665637	0.011032923	0.935866667	39.63373333	48.57733333	0	758	716.261	997.6239	0	86	6.596666667	7.403333333	8.17	1.299176667	244.5983	140.8209
STEI	45.50649918	-89.58669706	0.003658683	0.010915383	0.758928571	47.01235714	73.07214286	5	782	2767.31	2778.053	177.637	50.37272727	40.57272727	9.054545455	5.145454545	1.061636364	991.3858	562.4075
TREE	45.4934764	-89.5872743	0.003654492	0.010918475	0.927235772	49.7696748	63.58617886	5	782	2477.2	2473.9258	178.0447	74.15833333	19.75	6.091666667	5.508333333	1.149816667	918.2297	441.9617
CLBJ	33.40044823	-97.56995153	0.003656682	0.010944006	0.874086022	44.88967742	56.76451613	18	840	936.684	893.8188	139.1796	57.08666667	33.84	9.073333333	5.553333333	1.51704	732.9508	367.6075
