Biome,Log-OC,Log-SMC
Bare soil,1.040117223,-0.412180448
Bare soil,1.653212514,-0.301029996
Bare soil,1.099702913,-0.129633858
Bare soil,2.099384632,0.038563395
Bare soil,2.118689787,0.16984231
Bare soil,2.137173193,0.283624244
Bare soil,1.740362689,0.285235728
Bare soil,2.165625825,0.293204658
Bare soil,2.17401825,0.67669361
Bare soil,2.188325715,0.699589982
Bare soil,3.350571034,0.726998728
Bare soil,2.165625825,0.777115983
Bare soil,2.186310424,0.811000162
Bare soil,2.835161911,0.837798801
Bare soil,3.130333768,0.864807629
Bare soil,2.858336646,1.120573931
Bare soil,3.017728767,1.154829572
Bare soil,2.876506504,1.254266028
Bare soil,3.015988105,1.287054878
Bare soil,3.030734617,1.731387283
Bare soil,3.011781831,1.783188691
Bare soil,3.064145884,1.870940101
Bare soil,3.070960916,1.911823194
Boreal Forest,2.765916794,0.489020478
Boreal Forest,2.196294645,0.756961951
Boreal Forest,2.301029996,0.77815125
Boreal Forest,2.109144469,0.826999818
Boreal Forest,2.839896846,0.962211439
Boreal Forest,1.46834733,0.982271233
Boreal Forest,3.108339475,1.017728767
Boreal Forest,2.345233658,1.021189299
Boreal Forest,1.44870632,1.025305865
Boreal Forest,2.268845312,1.099384632
Boreal Forest,3.08517161,1.210853365
Boreal Forest,1.495544338,1.245512668
Boreal Forest,2.746893557,1.251232527
Boreal Forest,3.017728767,1.309984838
Boreal Forest,3.070037867,1.320492475
Boreal Forest,2.661181443,1.330751877
Boreal Forest,3.091918067,1.397815907
Boreal Forest,3.150537155,1.43479694
Boreal Forest,3.19266036,1.48784512
Boreal Forest,3.054995862,1.517195898
Boreal Forest,3.148705459,1.536768806
Boreal Forest,3.159223334,1.54961624
Boreal Forest,3.113943352,1.55448916
Boreal Forest,3.163502132,1.56144214
Boreal Forest,2.954242509,1.563283274
Boreal Forest,3.017867719,1.583198774
Boreal Forest,2.960946196,1.603144373
Boreal Forest,3.640978057,1.613665673
Boreal Forest,3.079181246,1.617175143
Boreal Forest,3.309984838,1.621522471
Boreal Forest,3.104291967,1.659372822
Boreal Forest,3.159223334,1.662082937
